Welcome to Tarati,Bienvenido a Tarati,Completá el tutorial para aprender las reglas del juego.,es-ES
First Capture,Primera captura,Voltea una pieza enemiga por primera vez.,es-ES
First Promotion,Primera promoción,Promueve un Cob a Rok por primera vez.,es-ES
First Victory,Primera victoria,Gana tu primera partida contra la IA.,es-ES
Play 10 Games,10 partidas jugadas,Completá 10 partidas contra la IA.,es-ES
The Flipper,El volteador,Capturá 50 piezas enemigas en total.,es-ES
Rok Master,Maestro Rok,Promové 25 Cobs a Roks en todas las partidas.,es-ES
Unstoppable,Imparable,Ganó 10 partidas contra la IA.,es-ES
Champion,Campeón,Gana una partida en dificultad Campeón.,es-ES
Mit,Mit,Gana una partida por Mit: capturá todas las piezas enemigas.,es-ES
Stalemit,Stalemit,Gana una partida por Stalemit: dejá al oponente sin movimientos legales.,es-ES
Eternal Loop,Bucle eterno,Gana una partida por triple repetición.,es-ES
Fifty Move Rule,Regla de los 50 movimientos,Reclamá un empate usando la regla de los 50 movimientos.,es-ES
Dead but Dangerous,Muerto pero peligroso,Promové un Cob muerto para ganar la partida.,es-ES
Grandmaster,Gran Maestro,Gana 50 partidas contra la IA.,es-ES
Halloween Theme,Tema Halloween,Ganó en dificultad Campeón el 31 de octubre para desbloquear el tema Halloween para siempre.,es-ES
Christmas Theme,Tema Navidad,Ganó en dificultad Campeón el 25 de diciembre para desbloquear el tema Navidad para siempre.,es-ES
Apprentice,Aprendiz,Gana una partida en dificultad Fácil.,es-ES
Strategist,Estratega,Gana una partida en dificultad Media.,es-ES
Tactician,Táctico,Gana una partida en dificultad Difícil.,es-ES
The First Light,La Primera Luz,Ganá con las Blancas del 4 al 6 de abril para desbloquear una paleta exclusiva para siempre.,es-ES
The Dark Side,El Lado Oscuro,Ganá con las Negras del 4 al 6 de abril para desbloquear una paleta exclusiva para siempre.,es-ES